Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Benchmark Period Mean (intersection),MeanState,global,scalar,W m-2,191.36
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Benchmark Period Mean (complement),MeanState,global,scalar,W m-2,185.118
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Period Mean (original grids),MeanState,global,scalar,W m-2,196.505
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Model Period Mean (intersection),MeanState,global,scalar,W m-2,196.483
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Model Period Mean (complement),MeanState,global,scalar,W m-2,nan
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Benchmark Period Mean (intersection),MeanState,bona,scalar,W m-2,120.836
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Benchmark Period Mean (complement),MeanState,bona,scalar,W m-2,109.439
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Period Mean (original grids),MeanState,bona,scalar,W m-2,127.821
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Model Period Mean (intersection),MeanState,bona,scalar,W m-2,128.449
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Model Period Mean (complement),MeanState,bona,scalar,W m-2,nan
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Spatial Distribution Score,MeanState,global,score,1,0.995723
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Spatial Distribution Score,MeanState,bona,score,1,0.941288
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Phase Shift,MeanState,global,scalar,months,0.590558
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Seasonal Cycle Score,MeanState,global,score,1,0.937502
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Phase Shift,MeanState,bona,scalar,months,0.370321
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Seasonal Cycle Score,MeanState,bona,score,1,0.975469
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Bias,MeanState,global,scalar,W m-2,5.11622
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Bias Score,MeanState,global,score,1,0.755634
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Bias,MeanState,bona,scalar,W m-2,7.65668
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Bias Score,MeanState,bona,score,1,0.901744
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,RMSE,MeanState,global,scalar,W m-2,19.4923
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,RMSE Score,MeanState,global,score,1,0.78457
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,RMSE,MeanState,bona,scalar,W m-2,20.6175
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,RMSE Score,MeanState,bona,score,1,0.826215
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Overall Score,MeanState,global,score,1,0.8516
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Overall Score,MeanState,bona,score,1,0.894186
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Benchmark Period Mean (intersection),MeanState,global,scalar,W m-2,190.962
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Benchmark Period Mean (complement),MeanState,global,scalar,W m-2,184.882
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Period Mean (original grids),MeanState,global,scalar,W m-2,195.556
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Model Period Mean (intersection),MeanState,global,scalar,W m-2,195.556
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Model Period Mean (complement),MeanState,global,scalar,W m-2,nan
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Benchmark Period Mean (intersection),MeanState,bona,scalar,W m-2,119.146
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Benchmark Period Mean (complement),MeanState,bona,scalar,W m-2,108.572
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Period Mean (original grids),MeanState,bona,scalar,W m-2,124.593
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Model Period Mean (intersection),MeanState,bona,scalar,W m-2,124.609
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Model Period Mean (complement),MeanState,bona,scalar,W m-2,nan
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Spatial Distribution Score,MeanState,global,score,1,0.996662
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Spatial Distribution Score,MeanState,bona,score,1,0.950728
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Phase Shift,MeanState,global,scalar,months,0.576094
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Seasonal Cycle Score,MeanState,global,score,1,0.938426
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Phase Shift,MeanState,bona,scalar,months,0.352137
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Seasonal Cycle Score,MeanState,bona,score,1,0.976674
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Bias,MeanState,global,scalar,W m-2,4.59501
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Bias Score,MeanState,global,score,1,0.759501
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Bias,MeanState,bona,scalar,W m-2,5.45956
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Bias Score,MeanState,bona,score,1,0.916419
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,RMSE,MeanState,global,scalar,W m-2,18.8867
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,RMSE Score,MeanState,global,score,1,0.789387
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,RMSE,MeanState,bona,scalar,W m-2,19.4424
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,RMSE Score,MeanState,bona,score,1,0.833645
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Overall Score,MeanState,global,score,1,0.854673
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JULES,Overall Score,MeanState,bona,score,1,0.902222
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Benchmark Period Mean (intersection),MeanState,global,scalar,W m-2,192.221
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Benchmark Period Mean (complement),MeanState,global,scalar,W m-2,184.647
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Period Mean (original grids),MeanState,global,scalar,W m-2,135.068
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Model Period Mean (intersection),MeanState,global,scalar,W m-2,135.068
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Model Period Mean (complement),MeanState,global,scalar,W m-2,nan
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Benchmark Period Mean (intersection),MeanState,bona,scalar,W m-2,120.098
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Benchmark Period Mean (complement),MeanState,bona,scalar,W m-2,109.512
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Period Mean (original grids),MeanState,bona,scalar,W m-2,81.1016
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Model Period Mean (intersection),MeanState,bona,scalar,W m-2,81.1016
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Model Period Mean (complement),MeanState,bona,scalar,W m-2,nan
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Spatial Distribution Score,MeanState,global,score,1,0.930087
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Spatial Distribution Score,MeanState,bona,score,1,0.985977
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Phase Shift,MeanState,global,scalar,months,0.62254
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Seasonal Cycle Score,MeanState,global,score,1,0.936285
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Phase Shift,MeanState,bona,scalar,months,0.359599
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Seasonal Cycle Score,MeanState,bona,score,1,0.976179
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Bias,MeanState,global,scalar,W m-2,-57.1528
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Bias Score,MeanState,global,score,1,0.358716
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Bias,MeanState,bona,scalar,W m-2,-38.9968
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Bias Score,MeanState,bona,score,1,0.638261
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,RMSE,MeanState,global,scalar,W m-2,61.1577
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,RMSE Score,MeanState,global,score,1,0.692988
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,RMSE,MeanState,bona,scalar,W m-2,49.2534
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,RMSE Score,MeanState,bona,score,1,0.694835
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Overall Score,MeanState,global,score,1,0.722213
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,LPX-Bern,Overall Score,MeanState,bona,score,1,0.798017
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Period Mean (original grids),MeanState,global,scalar,W m-2,177.916
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Period Mean (original grids),MeanState,bona,scalar,W m-2,140.745
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Bias,MeanState,global,scalar,W m-2,12.4037
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Bias,MeanState,bona,scalar,W m-2,16.4749
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Bias Score,MeanState,global,score,1,0.78168
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Bias Score,MeanState,bona,score,1,0.812117
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Phase Shift,MeanState,global,scalar,months,0.429907
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Phase Shift,MeanState,bona,scalar,months,0.444792
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Seasonal Cycle Score,MeanState,global,score,1,0.966461
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Seasonal Cycle Score,MeanState,bona,score,1,0.970536
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,RMSE,MeanState,global,scalar,W m-2,25.7532
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,RMSE,MeanState,bona,scalar,W m-2,26.1781
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,RMSE Score,MeanState,global,score,1,0.779735
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,RMSE Score,MeanState,bona,score,1,0.806101
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Overall Score,MeanState,global,score,1,0.826903
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Overall Score,MeanState,bona,score,1,0.848714
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Period Mean (original grids),MeanState,global,scalar,W m-2,178.23
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Period Mean (original grids),MeanState,bona,scalar,W m-2,137.264
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Bias,MeanState,global,scalar,W m-2,11.2942
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Bias,MeanState,bona,scalar,W m-2,12.9939
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Bias Score,MeanState,global,score,1,0.790041
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Bias Score,MeanState,bona,score,1,0.840964
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Phase Shift,MeanState,global,scalar,months,0.372439
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Phase Shift,MeanState,bona,scalar,months,0.444792
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Seasonal Cycle Score,MeanState,global,score,1,0.97089
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Seasonal Cycle Score,MeanState,bona,score,1,0.970536
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,RMSE,MeanState,global,scalar,W m-2,24.6386
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,RMSE,MeanState,bona,scalar,W m-2,23.427
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,RMSE Score,MeanState,global,score,1,0.784119
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,RMSE Score,MeanState,bona,score,1,0.812695
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Overall Score,MeanState,global,score,1,0.832292
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Overall Score,MeanState,bona,score,1,0.859223
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Period Mean (original grids),MeanState,global,scalar,W m-2,120.376
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Period Mean (original grids),MeanState,bona,scalar,W m-2,90.1392
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Bias,MeanState,global,scalar,W m-2,-46.9951
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Bias,MeanState,bona,scalar,W m-2,-34.1312
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Bias Score,MeanState,global,score,1,0.526863
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Bias Score,MeanState,bona,score,1,0.666388
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Phase Shift,MeanState,global,scalar,months,0.433905
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Phase Shift,MeanState,bona,scalar,months,0.444792
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Seasonal Cycle Score,MeanState,global,score,1,0.966799
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Seasonal Cycle Score,MeanState,bona,score,1,0.970536
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,RMSE,MeanState,global,scalar,W m-2,54.5861
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,RMSE,MeanState,bona,scalar,W m-2,44.954
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,RMSE Score,MeanState,global,score,1,0.686061
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,RMSE Score,MeanState,bona,score,1,0.706196
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Overall Score,MeanState,global,score,1,0.716446
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,LPX-Bern,Overall Score,MeanState,bona,score,1,0.762329